timestamps,open,high,low,close,volume,amount
2025-12-01 00:00:00,96000.0,96155.02,95944.04,96143.05,4.4038,423078.5718
2025-12-01 00:05:00,96143.05,96163.31,95938.97,96075.52,3.4593,332470.2176
2025-12-01 00:10:00,96075.52,96122.43,95900.19,95940.2,3.0822,295911.7948
2025-12-01 00:15:00,95940.2,96175.17,95791.26,96009.84,3.2029,307394.5054
2025-12-01 00:20:00,96009.84,96037.0,95639.9,95718.12,4.2654,408896.272
2025-12-01 00:25:00,95718.12,96158.52,95712.3,96138.99,4.2809,410663.9189
2025-12-01 00:30:00,96138.99,96148.58,95882.55,95981.98,2.9696,285263.3689
2025-12-01 00:35:00,95981.98,96007.17,95757.14,95809.03,4.8153,461770.183
2025-12-01 00:40:00,95809.03,95900.23,95734.22,95805.15,4.0261,385724.5537
2025-12-01 00:45:00,95805.15,96034.25,95690.62,95865.18,2.7461,263170.688
2025-12-01 00:50:00,95865.18,96092.37,95855.2,96077.56,2.8764,276050.0819
2025-12-01 00:55:00,96077.56,96139.8,95611.74,95651.4,3.8214,366336.7788
2025-12-01 01:00:00,95651.4,95901.93,95623.5,95750.0,2.9814,285317.552
2025-12-01 01:05:00,95750.0,95802.71,95466.89,95555.55,3.6641,350481.3564
2025-12-01 01:10:00,95555.55,95582.15,95286.56,95314.98,3.7194,354964.9287
2025-12-01 01:15:00,95314.98,95330.91,95083.19,95177.96,3.9953,380534.2487
2025-12-01 01:20:00,95177.96,95526.42,95171.79,95409.97,3.7544,357773.1922
2025-12-01 01:25:00,95409.97,95568.93,95378.93,95513.48,4.4225,422183.8229
2025-12-01 01:30:00,95513.48,95647.98,95278.04,95503.21,3.5274,336894.0416
2025-12-01 01:35:00,95503.21,95553.86,95495.32,95528.15,4.9845,476094.1979
2025-12-01 01:40:00,95528.15,95558.85,95338.22,95465.2,3.1478,300608.0348
2025-12-01 01:45:00,95465.2,95508.31,95155.19,95233.65,2.9109,277556.3384
2025-12-01 01:50:00,95233.65,95277.64,95073.99,95082.29,3.7108,353112.7899
2025-12-01 01:55:00,95082.29,95110.33,94848.55,94882.04,4.3294,411215.1837
2025-12-01 02:00:00,94882.04,94988.64,94881.6,94966.32,2.7932,265145.4395
2025-12-01 02:05:00,94966.32,95002.28,94533.92,94563.09,3.5028,331946.2271
2025-12-01 02:10:00,94563.09,94597.47,94356.88,94517.33,2.7182,256981.303
2025-12-01 02:15:00,94517.33,94596.7,94354.11,94590.36,2.5331,239518.3527
2025-12-01 02:20:00,94590.36,94817.19,94573.99,94607.45,2.8769,272154.8284
2025-12-01 02:25:00,94607.45,94706.96,94500.3,94597.6,3.4399,325424.7728
2025-12-01 02:30:00,94597.6,94899.7,94478.17,94822.09,4.2523,402735.9849
2025-12-01 02:35:00,94822.09,95176.29,94737.56,94989.03,3.2079,304444.9053
2025-12-01 02:40:00,94989.03,95060.48,94856.46,95017.43,2.5857,245650.2041
2025-12-01 02:45:00,95017.43,95057.93,94636.24,94714.62,4.4374,420960.1953
